dt,lat,lng,altitude,angle,speed,params
2022-05-18 00:52:59,3.844262,11.496177,702,58,0,"gpslev=13, gsmlev=5, hdop=0.4, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:55:59,3.844237,11.496158,696,6,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:59:00,3.844237,11.496158,696,6,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:02:00,3.844287,11.496158,699,34,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342752, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:05:00,3.844287,11.496158,699,34,0,"gpslev=12, gsmlev=5, hdop=0.3, io1=0, io16=19342752, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:08:00,3.844293,11.496188,699,66,0,"gpslev=12, gsmlev=5, hdop=0.3, io1=0, io16=19342755, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:11:00,3.844285,11.496185,699,55,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342755, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:14:01,3.844285,11.496185,699,55,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342755, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 01:17:01,3.844285,11.496185,699,55,0,"gpslev=12, gsmlev=5, hdop=0.3, io1=0, io16=19342755, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:20:02,3.844285,11.496185,699,55,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342755, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 01:23:02,3.844207,11.496133,700,244,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342755, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 01:26:03,3.844257,11.496165,701,42,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342763, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13298, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 01:29:02,3.844267,11.496148,699,49,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342765, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
